52.366927/ 31.040328
52.366936/ 31.040303
52.310907/ 31.147154
52.310884/ 31.149556
52.310267/ 31.148171
52.310061/ 31.149635
52.309595/ 31.149609
52.307264/ 31.141481
52.307083/ 31.165736
52.306756/ 31.154135
52.306652/ 31.154897
52.305513/ 31.159391
52.305458/ 31.154076
52.303988/ 31.153838
52.30401/ 31.181611
52.303934/ 31.181932
52.30322/ 31.154737
52.303229/ 31.181679
52.303031/ 31.166237
52.301896/ 31.171831
52.301793/ 31.171927
52.301778/ 31.172077
52.301104/ 31.1599
52.300677/ 31.159424
52.300633/ 31.160407
52.300592/ 31.161214
52.300557/ 31.159322
52.300445/ 31.159788
52.300472/ 31.160364
52.300187/ 31.159973
52.299528/ 31.157351
52.298936/ 31.157991
52.298706/ 31.157461
52.310908/ 31.146954
52.310907/ 31.147154
52.310884/ 31.149556
52.310648/ 31.147203
52.310614/ 31.147374
52.310179/ 31.099545
52.310323/ 31.149021
52.310267/ 31.148171
52.310061/ 31.149635
52.309938/ 31.149043
52.309912/ 31.149416
52.309877/ 31.148962
52.309792/ 31.149322
52.309721/ 31.148974
52.309678/ 31.148927
52.309595/ 31.149609
52.309587/ 31.14962
52.309368/ 31.146862
52.309044/ 31.153553
52.309056/ 31.153663
52.309046/ 31.153229
52.30884/ 31.153431
52.309064/ 31.150873
52.308781/ 31.149647
52.30869/ 31.15002
52.30872/ 31.149591
52.308958/ 31.103038
52.308625/ 31.100816
52.308596/ 31.100803
52.308223/ 31.144231
52.307884/ 31.144301
52.307819/ 31.144211
52.307808/ 31.145136
52.307358/ 31.143714
52.307299/ 31.143229
52.30728/ 31.145674
52.307884/ 31.144301
52.307819/ 31.144211
52.307358/ 31.143714
52.307299/ 31.143229
52.307264/ 31.141481
52.307083/ 31.165736
52.306756/ 31.154135
52.306763/ 31.154123
52.306652/ 31.154897
52.306546/ 31.154656
52.306373/ 31.15376
52.306281/ 31.155658
52.306281/ 31.155643
52.306373/ 31.15376
52.306281/ 31.155658
52.306281/ 31.155643
52.305458/ 31.154076
52.305513/ 31.159391
52.305526/ 31.15939
52.30401/ 31.181611
52.303934/ 31.181932
52.303229/ 31.181679
52.303988/ 31.153838
52.30322/ 31.154737
52.303019/ 31.155607
52.303031/ 31.166237
52.302911/ 31.166781
52.302862/ 31.176568
52.301896/ 31.171831
52.301793/ 31.171927
52.301778/ 31.172077
52.301104/ 31.1599
52.300783/ 31.160325
52.300677/ 31.159424
52.300633/ 31.160407
52.300627/ 31.160044
52.300599/ 31.160768
52.300592/ 31.161214
52.300557/ 31.159322
52.300563/ 31.159521
52.300445/ 31.159788
52.300553/ 31.158263
52.300472/ 31.160364
52.300385/ 31.160067
52.300328/ 31.159571
52.300187/ 31.159973
52.300041/ 31.159407
52.300553/ 31.158263
52.300092/ 31.156945
52.299984/ 31.156601
52.299528/ 31.157351
52.299673/ 31.160033
52.299528/ 31.157351
52.298936/ 31.157991
52.298958/ 31.158791
52.298706/ 31.157461
52.297273/ 31.17696
